,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
562,Max Entropy,Threshold,0.621,0.686,0.194,"[[0.006, 0.312], [0.002, 0.68]]",0.99,0.374,0.373,0.33,0.414,0.022,1525.058,1525.49,1476.508,1571.731,24.738,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,1.99,0,0.992,0.002,0.312
563,Median Entropy,Logistic Regression,0.632,0.682,0.213,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
564,Median Entropy,KNN,0.601,0.676,0.213,"[[0.022, 0.296], [0.028, 0.654]]",0.95,0.374,0.373,0.328,0.416,0.022,1467.518,1467.816,1412.914,1520.81,27.395,0.306,0.306,0.266,0.346,0.02,0.396,0.396,0.358,0.435,0.02,2wikimultihopqa,1.95,0,0.95,0.028,0.296
565,Median Entropy,MLP,0.632,0.682,0.213,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
566,Median Entropy,Decision Tree,0.595,0.668,0.213,"[[0.018, 0.3], [0.032, 0.65]]",0.95,0.36,0.36,0.316,0.402,0.022,1466.298,1467.048,1414.246,1519.371,27.41,0.294,0.294,0.256,0.332,0.02,0.388,0.388,0.348,0.426,0.019,2wikimultihopqa,1.95,0,0.95,0.032,0.3
567,Median Entropy,Threshold,0.632,0.678,0.213,"[[0.01, 0.308], [0.014, 0.668]]",0.98,0.378,0.377,0.332,0.42,0.022,1498.516,1498.848,1447.707,1550.158,25.625,0.308,0.308,0.268,0.348,0.021,0.398,0.398,0.359,0.436,0.02,2wikimultihopqa,1.98,0,0.976,0.014,0.308
568,Min Entropy,Logistic Regression,0.501,0.682,0.002,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
569,Min Entropy,KNN,0.538,0.668,0.002,"[[0.026, 0.292], [0.04, 0.642]]",0.93,0.376,0.375,0.33,0.416,0.022,1440.252,1440.647,1387.943,1494.866,27.995,0.308,0.308,0.266,0.348,0.021,0.396,0.396,0.355,0.434,0.02,2wikimultihopqa,1.9300000000000002,0,0.934,0.04,0.292
570,Min Entropy,MLP,0.501,0.682,0.002,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
571,Min Entropy,Decision Tree,0.53,0.684,0.002,"[[0.004, 0.314], [0.002, 0.68]]",0.99,0.376,0.375,0.332,0.418,0.022,1530.012,1530.604,1482.88,1576.892,24.6,0.304,0.304,0.264,0.342,0.02,0.397,0.397,0.358,0.434,0.02,2wikimultihopqa,1.99,0,0.994,0.002,0.314
572,Min Entropy,Threshold,0.501,0.682,0.002,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
573,Mean Probability,Logistic Regression,0.676,0.682,0.283,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
574,Mean Probability,KNN,0.61,0.688,0.283,"[[0.042, 0.276], [0.036, 0.646]]",0.92,0.374,0.373,0.328,0.416,0.022,1425.886,1426.765,1367.362,1482.831,29.505,0.306,0.306,0.266,0.346,0.021,0.398,0.398,0.357,0.435,0.02,2wikimultihopqa,1.92,0,0.922,0.036,0.276
575,Mean Probability,MLP,0.676,0.682,0.283,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
576,Mean Probability,Decision Tree,0.558,0.674,0.283,"[[0.018, 0.3], [0.026, 0.656]]",0.96,0.378,0.377,0.334,0.422,0.022,1470.85,1471.106,1418.564,1527.028,26.989,0.306,0.306,0.268,0.346,0.02,0.398,0.398,0.357,0.435,0.02,2wikimultihopqa,1.96,0,0.956,0.026,0.3
577,Mean Probability,Threshold,0.676,0.682,0.283,"[[0.018, 0.3], [0.018, 0.664]]",0.96,0.38,0.379,0.336,0.422,0.022,1482.53,1483.149,1429.349,1533.938,26.474,0.308,0.308,0.27,0.346,0.021,0.4,0.4,0.36,0.437,0.02,2wikimultihopqa,1.96,0,0.964,0.018,0.3
578,Max Probability,Logistic Regression,0.557,0.682,0.093,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
